ItemID,PROD_CD,UnitPerCase,CaseWeight,UnitWeight,CaseDimensionL,CaseDimensionW,CaseDimensionH
DF4090,DF4090/RBL,50,23,0.46,20,11,15
DF4091,DF4091/BLK,50,26,0.52,20,12,15
DF4091,DF4091/LIM,50,26,0.52,20,12,15
DF4091,DF4091/ORG,50,26,0.52,20,12,15
DF4091,DF4091/RBL,50,26,0.52,20,12,15
DF4091,DF4091/RED,50,26,0.52,20,12,15
DF4092,DF4092/BLK,25,17,0.68,18,12,13
DF4092,DF4092/GRY,25,17,0.68,18,12,13
DF4092,DF4092/LIM,25,17,0.68,18,12,13
DF4092,DF4092/ORG,25,17,0.68,18,12,13
DF4092,DF4092/RBL,25,17,0.68,18,12,13
DF4092,DF4092/RED,25,17,0.68,18,12,13
DF4093,DF4093/GRY,20,16,0.8,20,17,18
DF4093,DF4093/RBL,20,16,0.8,20,17,18
DF4094,DF4094/BLK,25,24,0.96,20,18,13
DF4094,DF4094/GRY,25,24,0.96,20,18,13
DF4094,DF4094/NBL,25,24,0.96,20,18,13
DF4094,DF4094/ORG,25,24,0.96,20,18,13
DF4094,DF4094/RBL,25,24,0.96,20,18,13
DF4094,DF4094/RED,25,24,0.96,20,18,13
DF4095,DF4095/GRY,20,26,1.3,0,0,0
DF4095,DF4095/RBL,20,26,1.3,0,0,0
DF4096,DF4096/BLK,15,23,1.54,0,0,0
DF4096,DF4096/GRN,15,23,1.54,0,0,0
DF4097,DF4097/GRY,15,20,1.34,0,0,0
DF4097,DF4097/RBL,15,20,1.34,0,0,0
DF4098,DF4098/BLK,200,20,0.1,16,12,15
DF4098,DF4098/GRN,200,20,0.1,16,12,15
DF4098,DF4098/NBL,200,20,0.1,16,12,15
DF4098,DF4098/PUR,200,20,0.1,16,12,15
DF4098,DF4098/RBL,200,20,0.1,16,12,15
DF4098,DF4098/RED,200,20,0.1,16,12,15
DF4099,DF4099/BLK,200,24,0.12,16,12,15
DF4099,DF4099/GRN,200,24,0.12,16,12,15
DF4099,DF4099/NBL,200,24,0.12,16,12,15
DF4099,DF4099/PUR,200,24,0.12,16,12,15
DF4099,DF4099/RBL,200,24,0.12,16,12,15
DF4099,DF4099/RED,200,24,0.12,16,12,15
DF4100,DF4100/BLK,200,17,0.09,0,0,0
DF4100,DF4100/GRN,200,17,0.09,0,0,0
DF4100,DF4100/NBL,200,17,0.09,0,0,0
DF4100,DF4100/PUR,200,17,0.09,0,0,0
DF4100,DF4100/RBL,200,17,0.09,0,0,0
DF4100,DF4100/RED,200,17,0.09,0,0,0
DF4101,DF4101/BLK,100,21,0.21,18,24,14
DF4101,DF4101/GLD,100,21,0.21,18,24,14
DF4101,DF4101/LIM,100,21,0.21,18,24,14
DF4101,DF4101/NBL,100,21,0.21,18,24,14
DF4101,DF4101/PUR,100,21,0.21,18,24,14
DF4101,DF4101/RBL,100,21,0.21,18,24,14
DF4101,DF4101/RED,100,21,0.21,18,24,14
DF4101,DF4101/TEL,100,21,0.21,18,24,14
DF4102,DF4102/BLK,100,17,0.17,23,24,11
DF4102,DF4102/GLD,100,17,0.17,23,24,11
DF4102,DF4102/LIM,100,17,0.17,23,24,11
DF4102,DF4102/NBL,100,17,0.17,23,24,11
DF4102,DF4102/PUR,100,17,0.17,23,24,11
DF4102,DF4102/RBL,100,17,0.17,23,24,11
DF4102,DF4102/RED,100,17,0.17,23,24,11
DF4102,DF4102/TEL,100,17,0.17,23,24,11
DF4103,DF4103,100,45,0.45,21,14,18
DF4104,DF4104/BLK,30,22,0.74,21,19,16
DF4104,DF4104/RBL,30,22,0.74,21,19,16
DF4104,DF4104/RED,30,22,0.74,21,19,16
DF4105,DF4105/BLK,50,23,0.46,19,14,14
DF4105,DF4105/PUR,50,23,0.46,19,14,14
DF4105,DF4105/RBL,50,23,0.46,19,14,14
DF4105,DF4105/RED,50,23,0.46,19,14,14
DF4106,DF4106/BLK,40,30,0.75,24,21,18
DF4106,DF4106/LIM,40,30,0.75,24,21,18
DF4106,DF4106/RBL,40,30,0.75,24,21,18
DF4106,DF4106/RED,40,30,0.75,24,21,18
DF4107,DF4107/BLK,20,23,1.15,23,19,20
DF4107,DF4107/RBL,20,23,1.15,23,19,20
DF4107,DF4107/RED,20,23,1.15,23,19,20
DF4108,DF4108/BLK,30,24,0.8,22,16,16
DF4108,DF4108/RBL,30,24,0.8,22,16,16
DF4108,DF4108/RED,30,24,0.8,22,16,16
DF4109,DF4109/BLK,20,33,1.65,24,20,23
DF4109,DF4109/LIM,20,33,1.65,24,20,23
DF4109,DF4109/RBL,20,33,1.65,24,20,23
DF4109,DF4109/RED,20,33,1.65,24,20,23
DF4110,DF4110/BLK,20,20,1.05,21,17,14
DF4110,DF4110/BLU,20,21,1.05,21,17,14
DF4110,DF4110/GRY,20,21,1.02,21,17,14
DF4110,DF4110/RED,20,21,1.05,21,17,14
DF4111,DF4111/BLK,50,23,0.46,19,21,18
DF4111,DF4111/BLU,50,23,0.46,19,21,18
DF4111,DF4111/GRN,50,23,0.46,19,21,18
DF4111,DF4111/PNK,50,23,0.46,19,21,18
DF4111,DF4111/YEL,50,23,0.46,19,21,18
DF4111,DF4112/BLK,50,19,0.38,22,13,14
DF4111,DF4112/BLU,50,19,0.38,22,13,14
DF4111,DF4112/GRN,50,19,0.38,22,13,14
DF4111,DF4112/RED,50,19,0.38,22,13,14
DF4111,DF4113/BLK,200,33,0.165,22,14,17
